"","fecha","tipo","total","Fecha"
"11-2018","11-2018","Robo total de vehículo",54280,nov. 2018
"12-2018","12-2018","Robo total de vehículo",34534,dic. 2018
"01-20181","01-2018","Robo parcial de vehículo",166226,ene. 2018
"02-20181","02-2018","Robo parcial de vehículo",238054,feb. 2018
"03-20181","03-2018","Robo parcial de vehículo",237009,mar. 2018
"04-20181","04-2018","Robo parcial de vehículo",164128,abr. 2018
"05-20181","05-2018","Robo parcial de vehículo",220721,may. 2018
"06-20181","06-2018","Robo parcial de vehículo",288397,jun. 2018
"07-20181","07-2018","Robo parcial de vehículo",207454,jul. 2018
"08-20181","08-2018","Robo parcial de vehículo",214570,ago. 2018
"09-20181","09-2018","Robo parcial de vehículo",236464,sep. 2018
"10-20181","10-2018","Robo parcial de vehículo",228860,oct. 2018
"11-20181","11-2018","Robo parcial de vehículo",301821,nov. 2018
